ZEIT,Betriebe,Einsparung - CO2,Einsparung - Wasser,Einsparung Abfälle,Einsparung Betriebskosten,Einsparung Energie,einmalige Investitionskosten
2001,14.0,694.0,2320.0,877.0,489460.0,1387000.0,301918.0
2002/2003,10.0,391.0,68896.0,97.0,250382.0,615000.0,632143.0
2003/2004,16.0,454.0,7457.0,130.0,126533.0,916000.0,153547.0
2005/2006,9.0,1524.0,1683.0,31.0,304317.0,3606648.0,851064.0
2007/2008,12.0,1371.0,33307.0,82.0,435125.0,4832961.0,271718.0
2009/2010,11.0,9835.0,13061.0,34.0,1083881.0,6900000.0,9728140.0
2011/2012,12.0,989.0,25343.0,244.0,578817.0,1678831.0,2178448.0
2012/2014,10.0,773.0,3332.0,27.0,217369.0,2023457.0,895889.0
2015/2016,9.0,1318.0,368.0,5.0,210723.0,1104579.0,1148350.0
2016/2017,9.0,431.0,861.0,13.0,295596.0,808326.0,1291378.0
2019/2020,6.0,540.0,3050.0,22.0,242422.0,1424172.0,1452150.0
2021/2022,12.0,1138.0,3277.0,191.1,451991.0,1155220.0,1363683.0
2022/2023,8.0,708.0,9556.0,314.0,469374.0,4075360.0,1778428.0
